LINE,LOC,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
17,1,333.38,3871.12,32.47,38.33,127.17,136.61,135.86,3.57,3.94,4.25,1,0.71,1.46,0.08,0.37,0.52,0.03,194.53,93.25,0.14,98.15,63.38,0.01,0.05,0,0.29,0.29,0,1.14,0.32,0.74,0.88,0.91,3.95,0.47,136.81,141.54,101.85,114.72,61.21,-10.8,25.02,113.35,27.25,6.11,0.61,0.22
18,1,399.33,4400.88,28.64,46.5,144.12,163.7,165.28,3.55,5.06,5.91,1.57,0.49,3.22,0.13,0.41,0.34,0.01,220.38,139.35,0.01,42.4,26.08,0,0.04,0,0.67,0.43,0,3.14,0.1,0.7,0.89,0.9,5.08,0.53,133.39,140.32,96.15,111.55,60.53,-12.49,27.43,114.49,30.14,4.39,0.7,0.16
19,1,361.97,5097.91,43.65,48.41,132.67,143.07,147.59,2.96,3.08,3.38,1.06,0.42,2.57,0.08,0.32,0.48,0.01,198.9,147,0.01,47.88,40.23,0,0.05,0,0.44,0.28,0,1.61,0.27,0.74,0.89,0.89,3.09,0.43,129.46,138.99,81.67,103.96,59.54,-15.51,35.28,113.76,38.54,3.59,0.66,0.19
20,1,339.41,4408.49,40.34,43.16,131.66,139.45,140.69,3.25,3.3,3.56,0.88,0.38,2.36,0.07,0.34,0.45,0.03,133.4,81.55,0.1,48,52.28,0,0.01,0,0.31,0.18,0,1.24,0.35,0.76,0.89,0.89,3.31,0.4,120.61,124.3,81.4,97.02,54.1,-10.57,27.35,111.17,29.33,3.96,0.59,0.22
21,1,297.66,3970.45,43.58,49.45,101.13,108.03,114.18,2.19,2.33,2.61,1.11,0.47,2.39,0.08,0.25,0.5,0.02,173.83,136.33,0.03,74.7,67.3,0,0.02,0,0.44,0.24,0,1.17,0.11,0.75,0.89,0.9,2.33,0.44,138.26,144.87,90.15,111,62.21,-13.91,34.03,112.25,36.77,2.35,0.66,0.2
22,1,319.08,4794.04,47.5,55.69,116.1,121.03,123.32,2.19,2.45,2.61,1.12,0.38,2.96,0.09,0.26,0.46,0.01,44.5,83.18,0.01,63.13,56.68,0,0.01,0,0.55,0.22,0,1.58,0.18,0.77,0.89,0.87,2.46,0.43,135.72,144.92,91.38,111.39,61.92,-14.91,32.9,114.4,36.12,1.98,0.67,0.2
23,1,369.85,5889.29,49.09,56.2,134.34,147.57,146.87,2.68,2.75,3.04,1.1,0.35,3.13,0.09,0.3,0.43,0.02,93.83,157.68,0.06,45.38,46.93,0,0.03,0,0.55,0.33,0,1.88,0.15,0.73,0.89,0.83,2.75,0.44,128.8,138.46,85.97,105.81,59.37,-14.92,32.27,114.83,35.56,3.47,0.67,0.2
24,1,328.23,5333.74,56.45,63.65,104.63,109.92,115.16,1.73,1.85,2.02,1.09,0.56,2,0.09,0.19,0.51,0.01,124.93,135.25,0.03,113.43,93.75,0.01,0.03,0,0.4,0.34,0,1.03,0.2,0.76,0.89,0.89,1.85,0.44,138.55,145.4,95.42,113.49,62.4,-13.36,30.95,113.34,33.72,4.63,0.67,0.18
25,1,346.22,5317.73,46.97,58.89,122.24,128.42,131.74,2.19,2.61,2.81,1.25,0.47,2.75,0.1,0.27,0.45,0.01,130.35,135.73,0.01,61.73,49.03,0,0,0,0.54,0.27,0,1.79,0.16,0.76,0.89,0.89,2.62,0.46,142.12,150.47,93.07,114.78,64.29,-15.18,35.32,113.27,38.45,2.92,0.71,0.19
26,1,254.84,3328.37,46.12,54.97,80.52,86.25,90.1,1.6,1.77,1.97,1.17,0.36,3.31,0.1,0.18,0.43,0,219.7,125.08,0.03,65.55,79.33,0,0.14,0,0.58,0.26,0,1.19,0.14,0.75,0.89,0.89,1.77,0.44,137.72,145.8,95.13,113.73,62.32,-14.04,31.32,114.12,34.33,2.34,0.66,0.19
27,1,265.68,3650.53,61.98,67.97,60.16,72.6,77.64,1.08,1.01,1.32,0.95,0.72,1.36,0.1,0.13,0.53,0.04,153.08,207,0.15,252.35,110.93,0.03,0.01,0.02,0.24,0.41,0.05,0.48,0.33,0.65,0.89,0.89,1.01,0.5,114.89,122.7,77.87,94.57,52.45,-12.69,27.71,114.64,30.48,3.76,1.06,0.14
28,1,293.67,3896.96,66.91,69.53,48.79,77.94,91.18,1.13,0.73,1.34,0.92,0.58,1.73,0.13,0.15,0.56,0.06,253.5,287,0.19,265,107.43,0.13,0.01,0,0.29,0.3,0,0.73,0.35,0.5,0.89,0.89,0.73,0.58,156.28,156.22,114.9,128.42,67.43,-9.12,26.52,109.05,28.05,3.18,0.56,0.2
29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1,223.25,2639.73,52.15,63.16,48.18,61.11,65.98,0.97,0.92,1.22,1.15,0.49,2.37,0.14,0.15,0.46,0.08,235.75,250.23,0.26,75.98,124.25,0.02,0.01,0,0.51,0.24,0,0.82,0.2,0.63,0.89,0.89,0.92,0.52,133.13,134.22,96.86,109.43,58.31,-8.64,24.16,109.68,25.67,2.43,0.79,0.16
31,1,167.65,1675.94,54.42,55.41,31.79,39.48,40.49,0.72,0.59,0.75,0.84,0.57,1.48,0.08,0.16,0.54,0.13,205.83,251.15,0.49,171.28,159.1,0,0,0,0.22,0.14,0,0.3,0.39,0.64,0.89,0.89,0.59,0.48,173.4,82.65,62.59,110.97,49.8,37.93,35.73,43.39,52.13,1.67,0.6,0.25
32,1,188.38,1818.47,63.48,65.68,24.43,38.44,38.3,0.59,0.39,0.61,0.3,0.83,0.36,0.1,0.25,0.47,0.1,198.43,246.98,0.36,214.88,217.03,0.19,0.02,0.27,0,0.57,0.33,0,0.58,0.51,0.88,0.88,0.39,0.57,155.29,78.02,60.93,101.65,45.59,32.87,30.29,42.76,44.78,2.95,0.74,0.16
33,1,127.13,874.88,43.35,43.71,19.16,26.25,29.97,0.6,0.44,0.69,0.65,0.65,1,0.09,0.23,0.54,0.04,155.73,253.78,0.14,221.4,143.03,0.05,0.01,0.02,0.13,0.19,0.03,0.11,0.44,0.58,0.89,0.88,0.44,0.52,164.48,72.76,56.73,103.97,45.98,39.45,33.86,40.61,52,2.29,0.55,0.25
34,1,199.87,2048.98,69.89,70.08,26.16,37.89,40.02,0.54,0.38,0.58,0.76,0.61,1.36,0.09,0.25,0.57,0.13,217.38,268.9,0.32,146.65,182.18,0.09,0.02,0.03,0.12,0.28,0.04,0.1,0.47,0.55,0.89,0.89,0.37,0.56,151.75,77.07,58.89,99.06,44.51,31.8,29.98,43.25,43.74,2.75,0.71,0.16
35,1,169.79,1569.5,57.66,58.21,25.36,35.09,37.18,0.6,0.44,0.65,0.8,0.66,1.23,0.09,0.22,0.56,0.14,222.53,256.13,0.43,180.55,184.43,0.08,0.06,0,0.17,0.21,0,0.19,0.45,0.58,0.89,0.89,0.44,0.53,154.69,73.52,56.81,99.41,44.23,34.96,31.2,41.75,46.86,1.96,0.63,0.22
36,1,196.59,1839.22,70.7,71.69,22.08,35.67,37.51,0.5,0.32,0.56,0.45,0.61,0.86,0.1,0.29,0.5,0.11,216.53,249.93,0.3,208.73,106.13,0.19,0.03,0.16,0,0.6,0.21,0,0.53,0.49,0.89,0.88,0.32,0.58,146.71,75.25,58.53,96.46,43.37,30.72,28.7,43.04,42.11,3.74,0.7,0.19
37,1,290.41,4271.49,48.66,50.61,100.48,110.85,111.06,2.21,2.08,2.29,0.87,0.43,2.05,0.07,0.24,0.49,0.04,272,147.05,0.11,81.18,68.65,0,0,0,0.28,0.22,0,0.81,0.39,0.73,0.89,0.88,2.09,0.43,133.45,67.27,53.72,88.05,39.08,29.49,24.85,40.09,38.58,5.99,0.69,0.17
38,1,327.64,5103.6,51.14,55.48,113.79,124.18,125.52,2.25,2.24,2.51,0.93,0.44,2.17,0.07,0.26,0.45,0.03,182.08,140.78,0.1,74.2,67.78,0,0.01,0,0.32,0.3,0,1.08,0.38,0.73,0.88,0.89,2.24,0.43,122.63,58.75,47.73,80.1,35.05,29.36,22.93,37.91,37.27,3.88,0.7,0.21
39,1,286,4287.04,48.94,53.26,101.8,108.15,108.58,2.04,2.1,2.24,0.92,0.42,2.17,0.07,0.23,0.48,0.04,263.67,49.67,0.13,74.93,64.47,0,0.1,0,0.37,0.13,0,1,0.31,0.75,0.89,0.89,2.1,0.42,131.95,63.8,53.33,87.12,37.92,30.87,23.4,37.17,38.74,4.19,0.62,0.21
40,1,321.94,5009.14,54.08,60.13,103.06,114.24,113.05,1.91,1.92,2.04,1.01,0.41,2.56,0.09,0.21,0.47,0.06,290.58,215.25,0.16,84.53,63.93,0.01,0,0,0.43,0.16,0,1.29,0.28,0.72,0.89,0.89,1.93,0.44,139.26,71.21,57.26,92.45,41.04,29.89,25.37,40.34,39.22,3.83,0.67,0.2
41,1,330.47,5151.13,48.3,54.74,118.28,127.95,127.28,2.34,2.45,2.64,1.01,0.43,2.33,0.08,0.27,0.46,0.04,261.98,115.68,0.14,85.2,61,0,0,0,0.43,0.14,0,1.38,0.25,0.74,0.89,0.88,2.46,0.44,142.38,70.98,57.26,93.9,41.51,31.46,26.28,39.91,41.01,3.95,0.72,0.19
42,1,348.02,6090.74,57.36,60.94,119.87,132.27,132.35,2.19,2.1,2.33,0.93,0.44,2.18,0.07,0.24,0.5,0.05,272.68,39.95,0.15,82.88,66.3,0,0,0,0.34,0.23,0,1.11,0.36,0.72,0.89,0.89,2.1,0.44,124.25,56.89,48.1,80.95,34.9,31.08,22.29,35.58,38.26,4.66,0.65,0.19
43,1,375.19,7184.35,67.56,70.95,118.87,134.94,135.48,1.91,1.77,2.04,0.89,0.48,1.88,0.08,0.21,0.47,0.05,262.18,152.95,0.14,114.15,88.58,0,0.04,0,0.3,0.35,0,1.02,0.38,0.71,0.89,0.89,1.77,0.44,125.58,59.54,48.91,82.04,35.76,30.29,23.29,37.54,38.21,4.19,0.62,0.21
44,1,301.65,4316.07,45.23,49.59,107.32,117.79,118.14,2.38,2.38,2.64,0.96,0.42,2.3,0.08,0.27,0.45,0.05,289.88,71.73,0.16,76.25,54.68,0,0.01,0,0.38,0.19,0,1.19,0.33,0.73,0.89,0.89,2.38,0.43,134.65,59.81,48.27,86.01,37.57,34,26.55,37.99,43.15,3.74,0.67,0.21
45,1,382.13,8014.21,71.18,77.72,124.12,139.22,137.48,1.79,1.75,1.95,0.89,0.41,2.2,0.07,0.18,0.46,0.06,275.17,122.8,0.16,100.57,91.77,0.01,0.05,0,0.36,0.24,0,1.26,0.29,0.71,0.88,0.9,1.76,0.44,110.99,51.62,42.69,72.19,31.11,28.09,20.49,36.12,34.77,6.38,0.91,0.16
46,1,267.56,3400.44,39.98,44.94,98.43,104.88,105.25,2.37,2.48,2.63,0.98,0.39,2.55,0.08,0.27,0.44,0.03,262.98,186.4,0.08,55.68,50.73,0,0.12,0,0.4,0.18,0,1.07,0.29,0.75,0.89,0.89,2.49,0.42,137.35,61.81,50.53,88.34,38.49,34.13,26.33,37.59,43.12,4.07,0.69,0.2
47,1,411.29,6651.07,48.62,53.06,153.73,166.52,166.41,3.15,3.16,3.44,0.89,0.52,1.74,0.08,0.33,0.51,0.04,267.98,108.25,0.17,58.58,46.28,0,0,0,0.33,0.28,0,1.17,0.3,0.74,0.89,0.9,3.17,0.44,123.53,57.36,47.58,80.45,35,30.5,22.98,36.88,38.21,2.67,0.6,0.22
48,1,332.93,5095.38,50.65,59.58,105.94,126.89,127.2,2.14,2.1,2.54,1.07,0.28,3.88,0.1,0.25,0.39,0.05,278.25,139.4,0.19,38.65,39.55,0,0.18,0,0.49,0.38,0,1.74,0.23,0.67,0.87,0.86,2.1,0.47,130.56,76.62,45.99,83.09,40.69,21.87,32.09,55.64,38.85,4.27,0.75,0.16
49,1,311.29,4954.05,53.7,57.26,104.22,115.53,114.88,2.04,1.95,2.17,0.94,0.42,2.27,0.08,0.22,0.47,0.06,254.75,154.55,0.2,68,66.43,0,0.02,0,0.37,0.2,0,1.08,0.31,0.72,0.89,0.88,1.95,0.43,125.2,57.76,47.34,81.11,35.32,30.96,23.59,37.33,38.93,4.22,0.67,0.17
50,1,292.39,4072.45,46.42,50.17,100.58,112.16,111.27,2.25,2.18,2.44,0.96,0.39,2.5,0.08,0.25,0.44,0.06,265.03,198.73,0.24,58.13,56.28,0,0.03,0,0.36,0.26,0,1.11,0.32,0.72,0.89,0.88,2.19,0.43,128.42,56.97,45.78,81.88,35.63,32.77,25.32,37.65,41.43,3.72,0.68,0.2
51,1,313.53,4695.35,49.89,55.58,108.5,117.43,118.3,2.12,2.18,2.4,0.95,0.4,2.59,0.08,0.25,0.44,0.04,276.48,126.88,0.1,72.85,57.18,0,0.05,0,0.4,0.25,0,1.28,0.29,0.74,0.89,0.89,2.18,0.42,120.97,53.82,44.94,77.91,33.63,31.28,22.79,36.02,38.72,4.84,0.73,0.16
52,1,347.84,5647.23,54.14,63.88,106.15,125.43,125.58,1.98,1.98,2.3,1.05,0.46,2.35,0.09,0.23,0.45,0.07,272.18,128.88,0.23,107.08,78.98,0,0.03,0,0.4,0.44,0,1.27,0.28,0.68,0.86,0.88,1.98,0.49,113.02,51.3,41.83,72.78,31.48,28.99,21.65,36.71,36.18,6.17,0.74,0.2
53,1,250.73,2925.12,38.35,44.58,81.77,92.71,92.93,2.09,2.14,2.42,1.07,0.41,2.64,0.09,0.24,0.44,0.06,286.45,192.8,0.2,57,60.4,0,0.06,0,0.45,0.2,0,1.11,0.2,0.7,0.88,0.88,2.14,0.46,143.09,86.13,46.67,89.3,45.1,21.62,37.95,60.47,43.78,4.91,0.65,0.18
54,1,292.93,4523.31,51.52,54.19,98.38,109.03,108.28,2.01,1.91,2.11,0.93,0.48,1.96,0.08,0.22,0.5,0.06,252.7,163.83,0.23,102.08,70.15,0,0,0,0.33,0.17,0,0.93,0.35,0.72,0.89,0.89,1.91,0.44,135.39,67.96,54.88,89.5,39.56,30.06,24.91,39.71,39.04,3.25,0.65,0.22
55,1,305.23,3670.41,44.26,53.93,84.43,102.53,103.89,1.9,1.92,2.41,1.08,0.62,1.76,0.11,0.24,0.44,0.1,260.93,253.85,0.58,209.98,82.08,0.04,0.05,0,0.45,0.49,0,1.23,0.25,0.66,0.87,0.87,1.93,0.49,128.59,61.43,47.28,82.64,36.51,30.12,25.65,40.43,39.57,6.1,0.75,0.13
56,1,326.17,5474.39,58.34,61.34,107.08,118.3,117.84,1.93,1.84,2.04,0.82,0.41,2.03,0.07,0.2,0.48,0.06,293.48,115.33,0.19,79.05,69.05,0,0,0,0.35,0.25,0,1.06,0.31,0.72,0.89,0.89,1.84,0.43,119.72,58.24,48.13,78.91,34.48,28.38,21.58,37.17,35.67,5.76,0.72,0.19
57,1,333.71,6213.22,66.69,71.52,102.93,115.32,116.39,1.63,1.56,1.76,0.99,0.43,2.31,0.09,0.16,0.5,0.07,275.37,226.77,0.17,97.63,79.07,0,0,0,0.41,0.22,0,1.14,0.28,0.71,0.89,0.88,1.56,0.45,130.83,63.48,51.8,85.88,37.64,30.49,24.11,38.34,38.87,6,0.66,0.18
58,1,333.19,5317.7,55.18,60.73,106.21,122.85,124.22,2.05,1.96,2.34,0.95,0.38,2.59,0.08,0.23,0.46,0.05,265.18,158.45,0.16,66.33,62.65,0,0.07,0,0.4,0.32,0,1.28,0.28,0.69,0.89,0.89,1.97,0.45,131.13,65.01,52.41,86.32,38.15,29.66,24.33,39.28,38.37,3.7,0.64,0.19
59,1,176.26,1323.97,22.8,27.33,66.06,71.14,71.03,2.61,2.91,3.18,1.04,0.38,2.85,0.09,0.31,0.41,0.02,176.4,92.03,0.11,34.05,51.13,0,0.07,0,0.43,0.13,0,0.86,0.26,0.74,0.89,0.9,2.92,0.43,144.24,58.49,45.35,89.11,38.97,38.35,30.91,38.63,49.29,4.16,0.67,0.17
60,1,224.49,2066.63,27.88,31.18,79.42,92.05,92.9,2.95,2.86,3.37,0.95,0.37,2.61,0.08,0.33,0.41,0.03,258.05,109.1,0.12,41.93,48.23,0,0.04,0,0.39,0.28,0,1.02,0.32,0.69,0.88,0.88,2.86,0.46,143.83,66.19,54.13,93.06,40.76,34.55,27.36,38.41,44.08,3.02,0.63,0.21
61,1,199.98,1663.27,26.97,29.87,69.24,78,78.74,2.61,2.58,2.96,0.95,0.37,2.83,0.08,0.29,0.44,0.06,292.13,77.8,0.17,48.73,41.63,0,0.21,0,0.37,0.13,0,0.77,0.34,0.71,0.88,0.89,2.59,0.44,137.17,61.22,49.73,87.84,38.21,34.28,26.47,37.44,43.34,2.12,0.66,0.19
62,1,212.07,1205.87,17.4,19.01,86.36,93.32,95.01,4.93,5,5.57,0.85,0.36,2.41,0.09,0.41,0.4,0.04,71.05,35.25,0.01,19.53,22.48,0,0.15,0,0.29,0.16,0,0.91,0.4,0.74,0.89,0.91,5.03,0.38,127.5,52.36,42.54,79.94,34.59,34.72,26.07,36.9,43.42,7.25,0.61,0.22
63,1,335.54,2542.27,21.93,39.18,121.31,136.74,145.25,3.67,5.61,6.89,1.06,0.54,2.1,0.17,0.42,0.29,0.02,149.1,27.9,0.08,102.18,25.28,0,0.02,0,0.45,0.68,0,1.78,0.19,0.71,0.97,1.01,5.63,0.48,149.54,63.98,50.58,94.1,41.22,37.81,30.7,39.22,48.73,5.21,0.6,0.22
64,1,192.49,1478.16,25.76,26.82,68.54,74.82,74.83,2.82,2.68,2.96,0.76,0.53,1.43,0.06,0.31,0.46,0.05,286.68,110.88,0.16,132.68,79.38,0.01,0.04,0,0.17,0.14,0,0.46,0.48,0.73,0.89,0.89,2.69,0.4,124.48,65.24,53.85,83.72,36.9,26.6,21.21,38.46,34.04,3.23,0.61,0.21
65,1,138.6,1226.16,43.37,44.17,30.9,35.6,36.86,0.81,0.71,0.85,0.79,0.57,1.42,0.06,0.1,0.53,0.07,152.05,243.25,0.21,171.6,158.15,0.01,0.01,0,0.21,0.11,0,0.19,0.4,0.69,0.89,0.89,0.71,0.46,155.98,160.24,114.55,130.07,68.79,-11.79,28.75,112.31,31.07,1.18,0.58,0.23
66,1,406.6,5312.54,39.09,46.48,149.35,168.83,170.43,3.64,3.82,4.41,0.91,0.43,2.14,0.09,0.38,0.41,0.02,145.8,41.6,0.08,40.13,122.35,0,0.06,0,0.33,0.44,0,1.62,0.31,0.71,0.9,0.9,3.83,0.45,102.93,107.22,68.72,83.22,46.74,-9.93,24.63,111.92,26.56,2.18,0.57,0.24
67,1,457.98,4109.71,24.09,37.7,176.72,198.12,202.19,5.54,7.36,8.47,0.96,0.52,1.85,0.12,0.45,0.32,0.03,72.68,7.23,0,31.1,19.83,0,0.02,0,0.39,0.58,0,2.99,0.24,0.71,0.93,0.95,7.4,0.48,109.91,112.81,75.22,89.04,49.39,-9.18,24.16,110.91,25.86,3.41,0.57,0.24
68,1,325.35,4692.37,44.17,50.04,120.25,130.22,129.69,2.62,2.74,2.96,1,0.4,2.51,0.08,0.29,0.45,0.04,284.43,70.55,0.13,62.2,53.73,0,0.03,0,0.4,0.2,0,1.41,0.3,0.74,0.89,0.89,2.74,0.43,121.63,124.36,81.73,97.82,54.14,-10.08,27.45,110.15,29.25,3.97,0.58,0.24
69,1,276.02,1504.77,13.02,27.24,101.92,116.54,122.63,4.37,7.79,9.54,1.44,0.59,2.52,0.18,0.45,0.3,0.06,88.58,33.68,0.04,22.95,12.2,0,0.26,0,0.55,0.49,0,1.82,0.13,0.7,0.94,1,7.88,0.56,125.85,131.12,86.22,103.04,56.78,-11.76,28.34,112.47,30.69,2.89,0.56,0.24
70,1,518.7,3936.46,18.61,65.85,185.89,201.04,231.86,3.7,10.54,13.84,1.47,0.94,1.72,0.2,0.42,0.24,0.06,55.45,15.13,0.01,10.38,12.05,0,0,0,0.41,1.73,0,4.37,0.32,0.74,0.97,1.07,10.58,0.57,129.68,130.11,91.46,104.97,56.98,-8.5,25.04,108.82,26.45,3.73,0.62,0.21
71,1,275.86,2782.74,31.24,33.91,108.01,118.13,121.01,3.49,3.47,3.92,0.57,0.63,0.92,0.09,0.36,0.41,0.02,68.85,40.43,0,68.13,42.25,0,0,0.08,0.06,0.29,0.28,0.41,0.47,0.73,0.9,0.91,3.48,0.39,109.88,116.49,76.47,91.03,50.42,-11.4,25.15,114.4,27.63,4.82,0.66,0.2
72,1,165.38,1142.68,20.02,27.5,53.51,62.04,63.42,2.26,2.68,3.26,1.24,0.63,2.01,0.11,0.3,0.41,0.06,270.25,159.85,0.28,78.53,41,0,0,0,0.48,0.25,0,0.76,0.18,0.69,0.86,0.92,2.69,0.53,135.7,133.97,85.75,104.99,58.65,-8.92,31.45,106.06,32.71,2.27,0.67,0.18
73,1,148.56,1159.63,25.48,27.79,51.58,56.68,56.86,2.04,2.03,2.25,0.9,0.44,2.05,0.07,0.23,0.45,0.03,235.28,45.85,0.12,92.68,61.33,0,0.08,0,0.37,0.14,0,0.51,0.28,0.73,0.89,0.89,2.04,0.44,140.37,138.22,90.59,110.48,60.19,-8.76,31.16,105.71,32.5,1.38,0.62,0.21
74,1,216.61,2345.15,32.77,36.81,78.91,83.61,83.72,2.28,2.42,2.58,0.94,0.61,1.57,0.07,0.27,0.49,0.04,197.65,139.68,0.11,104.4,77.85,0,0,0,0.33,0.21,0,0.65,0.28,0.75,0.88,0.89,2.43,0.45,130.93,137,86.12,105.63,59.01,-13.05,31.88,112.26,34.46,4.62,0.6,0.22
